countryiso3code,country_x,year,WDI_GDP_Growth,WDI_GDPpc,WDI_Investment,WDI_Inflation,WDI_PopGrowth,WDI_Trade,WGI_CC.EST,WGI_GE.EST,WGI_RQ.EST,WGI_RL.EST,WGI_VA.EST,WGI_PV.EST,WGI_GE.EST_01,WGI_RL.EST_01,WGI_RQ.EST_01,WGI_CC.EST_01,S4_raw,S4_trend,S4_diff,V_5y,PSAV_shock,FQ_z_equal_weight,z_FH,z_RSF,z_VDEM,sources_used,country_y
JPN,Japan,2011,0.0238095237995424,33011.1342301291,23.5405686895679,-0.272455616101245,-0.185226486410846,30.1949607286296,1.55437541007996,1.46691274642944,1.07426130771637,1.30369925498962,1.07113337516785,0.99509197473526,0.7933825492858879,0.760739850997924,0.714852261543274,0.8108750820159919,0.7699624359607694,0.7613267362637706,-0.0006533265113826,0.0114074601653748,0.0,0.7298091783499291,0.8021763847767392,,0.6574419719231189,2,Japan
JPN,Japan,2012,1.37475099905274,33518.4449368599,24.0049297197241,-0.0440645104432608,-0.159710675844347,30.4709109171752,1.61894869804382,1.40798962116241,1.13758063316345,1.35136580467224,1.10129523277283,0.948442876338959,0.781597924232482,0.7702731609344481,0.7275161266326899,0.8237897396087639,0.7757942378520961,0.7643113742317664,0.0058318018913267,0.0047236897636154,0.0,0.7254885338168047,0.812354294858545,,0.6386227727750643,2,Japan
JPN,Japan,2013,2.00510017681211,34239.8862473488,24.4176240405457,0.335037912184772,-0.144271883387076,33.9787686509511,1.6482492685318,1.61050939559937,1.10895478725433,1.43588483333588,1.10958802700043,1.01914191246033,0.822101879119874,0.787176966667176,0.721790957450866,0.82964985370636,0.790179914236069,0.7696480404282133,0.0143856763839729,0.00668897024927,0.0,0.25594273985001154,0.8852719488762605,-0.6315698083127645,0.5141260789865386,3,Japan
JPN,Japan,2014,0.296205514141889,34386.9058552671,25.0363619892408,2.75922671353253,-0.132694222147042,37.4314345686579,1.69021356105804,1.80541300773621,1.13797330856323,1.59787368774414,1.03605246543884,0.96859735250473,0.8610826015472419,0.8195747375488279,0.727594661712646,0.838042712211608,0.811573678255081,0.7782972774596773,0.0213937640190119,0.0083625826415764,0.0,0.32408234480824194,1.029943419456917,-0.6041059850310291,0.5464095999988379,3,Japan
JPN,Japan,2015,1.56062669680782,34960.6393843385,25.1653478796719,0.795279630579784,-0.106124993746747,35.4274083544798,1.52976644039154,1.75316548347473,1.20364701747894,1.48507380485535,0.988048911094666,1.05422055721283,0.8506330966949459,0.79701476097107,0.7407294034957881,0.8059532880783081,0.7985826373100281,0.7824821365270278,-0.0129910409450528,0.0133361866734111,0.0,0.3710312280846866,1.114237355780464,-0.5660884392890785,0.5649447677626742,3,Japan
JPN,Japan,2016,0.753826745789127,35242.199377148,24.8355973184149,-0.127258844489712,-0.0511374152133631,31.3102468455884,1.4822438955307,1.78482556343079,1.41657531261444,1.38373231887817,0.983571171760559,0.968189001083374,0.8569651126861579,0.776746463775634,0.783315062522888,0.79644877910614,0.803368854522705,0.7867910554634544,0.0047862172126769,0.0129144105270156,0.0,0.3936196524402457,1.1240291097747472,-0.553231260943342,0.6100611084893317,3,Japan
JPN,Japan,2017,1.67533175173359,35861.9728545672,25.2148269758242,0.484199796126422,-0.081874296046114,34.4232135721686,1.48122704029083,1.57989025115967,1.36364352703094,1.52945506572723,1.00365543365479,1.10012805461884,0.8159780502319339,0.8058910131454461,0.772728705406188,0.796245408058166,0.7977107942104336,0.7890437918233473,-0.0056580603122714,0.0140735780981969,0.0,0.4125085490292877,1.1308688815654655,-0.5068653683927392,0.6135221339151368,3,Japan
JPN,Japan,2018,0.643391023533141,36138.5290824814,25.6417143090178,0.989094598021811,-0.126880068088791,36.609931802107,1.38858759403229,1.63458871841431,1.33422780036926,1.49385368824005,0.994713246822357,1.03756272792816,0.8269177436828621,0.79877073764801,0.766845560073852,0.777717518806458,0.7925628900527955,0.7897697799370927,-0.0051479041576381,0.0132923569007629,0.0,0.3982338158685062,1.1315506547648844,-0.525532589615049,0.5886833824556832,3,Japan
JPN,Japan,2019,-0.402169200894946,36043.7844013518,25.7896961306359,0.468776159383928,-0.140464977878172,35.2164181084145,1.4309983253479,1.55003654956818,1.31464898586273,1.49643456935883,0.929692089557648,1.01981234550476,0.810007309913636,0.799286913871766,0.762929797172546,0.78619966506958,0.789605921506882,0.7897359760291272,-0.0029569685459134,0.0063721420932918,0.0,0.42412509524754594,1.1541102043690117,-0.5097753465942524,0.6280404279678785,3,Japan
JPN,Japan,2020,-4.16876457146743,34642.9718743239,25.2240172261075,-0.024995834027682,-0.294194617750067,31.335208636773,1.4637143611908,1.5473005771637,1.3470870256424,1.47148048877716,0.982900321483612,1.02614521980286,0.80946011543274,0.794296097755432,0.76941740512848,0.79274287223816,0.791479122638703,0.7900955862578152,0.0018732011318209,0.0045711869422799,0.0,0.4304202454419021,1.167863170920186,-0.52825902325089,0.6516565886564102,3,Japan
JPN,Japan,2021,2.69657404187188,35741.1601062924,25.824730869587,-0.23335277939831,-0.459952415807642,36.7384462280698,1.53576052188873,1.36116814613342,1.36984014511108,1.54032814502716,1.06584024429321,1.0155017375946,0.772233629226684,0.808065629005432,0.773968029022216,0.8071521043777461,0.7903548479080196,0.7901490717998848,-0.0011242747306834,0.0030886173772395,0.0,0.4048639326925123,1.176245389730099,-0.564645720021985,0.602992128369423,3,Japan
JPN,Japan,2022,0.941998775483285,36238.3294895302,26.7755742133001,2.49770278172251,-0.443851919148528,46.8129868368938,1.53992962837219,1.61941540241241,1.43877255916595,1.55796921253204,1.02100276947021,1.0326372385025,0.823883080482482,0.811593842506408,0.78775451183319,0.8079859256744379,0.8078043401241295,0.7937913443687861,0.0174494922161099,0.0090017540113824,0.0,0.8811462884056334,1.1612801718244878,,0.601012404986779,2,Japan
JPN,Japan,2023,1.47503481053384,36952.5150709861,26.1821637488649,3.26813365933164,-0.487370782049143,45.1508795641248,1.3956606388092,1.63126504421234,1.46932590007782,1.53553938865662,1.10550534725189,0.951136231422424,0.8262530088424679,0.807107877731324,0.7938651800155639,0.77913212776184,0.801589548587799,0.795400109797437,-0.0062147915363305,0.0092240018255425,0.0,0.8944977487483932,1.1748405967740163,,0.61415490072277,2,Japan
KEN,Kenya,2004,5.10429977629738,1191.25443604556,16.962495556485,,3.10482476419105,59.4770033484289,-0.897880256175995,-0.666135549545288,-0.274853587150574,-0.864229917526245,-0.211594954133034,-1.08735477924347,0.3667728900909424,0.3271540164947509,0.4450292825698851,0.320423948764801,0.3648450344800949,0.3648450344800949,,,,0.16694549407497875,-0.05172634231380829,,0.3856173304637658,2,Kenya
KEN,Kenya,2005,5.90666607980057,1223.44738472019,17.6496847904784,,3.07223123352542,64.4788661639796,-1.0125367641449,-0.709110260009766,-0.288214594125748,-0.880881011486053,-0.244842007756233,-1.25050592422485,0.3581779479980468,0.3238237977027894,0.4423570811748504,0.29749264717102,0.3554628685116766,0.3629094985756803,-0.0093821659684182,,,0.15982815198582637,-0.07799630829869986,,0.3976526122703526,2,Kenya
KEN,Kenya,2006,6.47249430015484,1263.54164666211,18.633585404403,,3.04704867411558,55.2364851257303,-0.935450911521912,-0.655459582805634,-0.239396661520004,-0.882364630699158,-0.13034650683403,-1.12698328495026,0.3689080834388732,0.3235270738601684,0.4521206676959992,0.3129098176956176,0.3643664106726645,0.3632100587749756,0.0089035421609879,,,0.15213354188090514,-0.10032712969150868,,0.404594213453319,2,Kenya
KEN,Kenya,2007,6.85072976998784,1309.91092948216,20.4569783889085,,3.02220921188685,53.8947888046059,-0.978594720363617,-0.529211044311523,-0.317882090806961,-0.971304595470428,-0.249015316367149,-1.30544221401215,0.3941577911376954,0.3057390809059144,0.4364235818386078,0.3042810559272766,0.3601503774523735,0.3625788481274665,-0.004216033220291,0.0094267289090663,,0.06691220844990792,-0.2925432799810223,,0.42636769688083814,2,Kenya
KEN,Kenya,2008,0.232282744812977,1273.77226103073,19.6127114227698,,3.02964938264436,57.5785986473131,-1.06836628913879,-0.624475121498108,-0.277211368083954,-0.999996304512024,-0.282543808221817,-1.39361536502838,0.3751049757003784,0.3000007390975952,0.4445577263832092,0.286326742172242,0.3514975458383562,0.3602927812938118,-0.0086528316140173,0.0084735995709465,0.0,0.025446771775472665,-0.42275436016402645,,0.4736479037149718,2,Kenya
KEN,Kenya,2009,3.30693981631089,1276.73503486074,19.0191724248254,,3.0211086032266,45.9451918127805,-1.0707300901413,-0.664479374885559,-0.178242474794388,-1.02264547348022,-0.331883877515793,-1.42558062076569,0.3671041250228882,0.295470905303956,0.4643515050411224,0.28585398197174,0.3531951293349267,0.3588285394279459,0.0016975834965705,0.007675973294575,0.0,0.0059785598237681314,-0.4686545091044711,,0.48061162875200736,2,Kenya
KEN,Kenya,2010,8.05847360290906,1340.16467408856,21.2639987992095,,2.90158845467743,50.3942873502834,-0.911055028438568,-0.582948446273804,-0.136400818824768,-0.953961968421936,-0.218933016061783,-1.16552352905273,0.3834103107452392,0.3092076063156128,0.4727198362350464,0.3177889943122863,0.3707816869020461,0.3612944674646873,0.0175865575671194,0.0104541265952928,1.0,0.12612842909386437,-0.3256512507056763,,0.577908108893405,2,Kenya
KEN,Kenya,2011,5.1211061197056,1370.58000874482,21.8858122759467,14.0224913014704,2.75013743696978,58.4022059745625,-0.96374249458313,-0.578526675701141,-0.240827634930611,-0.912996649742126,-0.269520193338394,-1.24479079246521,0.3842946648597718,0.3174006700515748,0.4518344730138778,0.307251501083374,0.3651953272521496,0.3620992127870505,-0.0055863596498965,0.0104389321944753,0.0,0.1171637500128018,-0.3179798281997884,,0.552307328225392,2,Kenya
KEN,Kenya,2012,4.56867961444982,1396.30178709756,22.1933629258823,9.37777003547595,2.6080744180495,51.6236920232481,-1.09887766838074,-0.540134847164154,-0.317458748817444,-0.831432938575745,-0.287803679704666,-1.32344126701355,0.3919730305671692,0.3337134122848509,0.4365082502365112,0.280224466323852,0.3606047898530958,0.3617909141218184,-0.0045905373990537,0.0104794971414912,0.0,0.07658421524385023,-0.3879901109772158,,0.5411585414649163,2,Kenya
KEN,Kenya,2013,3.7978483925754,1413.94142522583,22.4049681039862,5.71749357037735,2.47210752389349,47.4646425127304,-1.03619039058685,-0.477865993976593,-0.326215893030167,-0.715259850025177,-0.212353259325027,-1.16693091392517,0.4044268012046814,0.3569480299949646,0.4347568213939666,0.29276192188263,0.3722233936190606,0.3639431291547811,0.0116186037659647,0.0101677067813278,0.0,-0.12071537180365306,-0.44263597443812996,-0.47671941093589354,0.5572092699630643,3,Kenya
KEN,Kenya,2014,5.02011100232484,1450.59338202277,24.9507189987733,6.87815499275944,2.33901192230694,46.170489362216,-0.93937611579895,-0.358901530504227,-0.348395675420761,-0.412037432193756,-0.145638465881348,-1.28224718570709,0.4282196938991546,0.4175925135612487,0.4303208649158477,0.31212477684021,0.3970644623041152,0.3707760427621941,0.0248410686850545,0.0134975407636492,0.0,-0.06531972766692688,-0.4512461135413246,-0.3252603385229695,0.5805472690635135,3,Kenya
KEN,Kenya,2015,4.96772112759767,1489.11959777284,22.1033982020293,6.58215429284783,2.2270329432256,40.3273846919019,-1.03123271465302,-0.393976986408234,-0.368477910757065,-0.507376968860626,-0.146438285708427,-1.24134790897369,0.4212046027183532,0.3985246062278748,0.426304417848587,0.293753457069396,0.3849467709660528,0.3736994565370725,-0.0121176913380624,0.015091882061995,0.0,-0.036331641518773994,-0.4477776289585041,-0.260170048286009,0.598952752688191,3,Kenya
KEN,Kenya,2016,4.21351706814744,1517.97796057742,19.3484358309332,6.29724953814624,2.20775684612709,34.8650195731824,-0.914170920848846,-0.402430564165115,-0.357900857925415,-0.457080602645874,-0.114260472357273,-1.35445654392242,0.419513887166977,0.4085838794708252,0.428419828414917,0.3171658158302308,0.3934208527207375,0.3777679701966218,0.0084740817546847,0.0144261579071859,0.0,-0.06483450182214785,-0.4165184010840433,-0.4095922661483482,0.6316071617659479,3,Kenya
KEN,Kenya,2017,3.83795817364721,1542.33773973372,20.6634949022773,8.00564967709946,2.17412854990493,35.9950578754074,-0.974906325340271,-0.390356600284576,-0.280637979507446,-0.431836128234863,-0.201042324304581,-1.12843883037567,0.4219286799430848,0.4136327743530274,0.4438724040985108,0.3050187349319458,0.3961131483316422,0.3815525707966045,0.0026922956109046,0.0134703276048137,1.0,-0.1273064700842417,-0.4927115665444751,-0.4055383524487115,0.5163305087404615,3,Kenya
KEN,Kenya,2018,5.64794640709219,1596.69045914945,19.3759862497025,4.68980646776328,2.03083744189606,34.4147531767425,-0.863009214401245,-0.493653178215027,-0.265344053506851,-0.42828243970871,-0.37522828578949,-1.17971229553223,0.4012693643569946,0.414343512058258,0.4469311892986297,0.3273981571197509,0.3974855557084084,0.3848395372034129,0.0013724073767661,0.0133905170675354,0.0,-0.13182093494448469,-0.48015354193287363,-0.4002552746494058,0.4849460117488254,3,Kenya
KEN,Kenya,2019,5.11415885767801,1645.70961777862,19.3418324204191,5.23963795764789,1.96381549826771,31.759461841481,-0.806061267852783,-0.441659152507782,-0.338947534561157,-0.464812368154526,-0.308262407779694,-1.10576343536377,0.4116681694984436,0.4070375263690948,0.4322104930877685,0.3387877464294434,0.3974259838461876,0.3874361145255465,-5.957186222071975e-05,0.0075458245383726,0.0,-0.09499000611132517,-0.46411637235092673,-0.3313945163840394,0.5105408704009906,3,Kenya
KEN,Kenya,2020,-0.272766327438816,1609.33414078281,19.6515841707054,5.40516207933395,1.96197633664853,27.2378155252369,-0.87534761428833,-0.399473369121552,-0.51719057559967,-0.579112708568573,-0.341349542140961,-1.00724005699158,0.4201053261756896,0.3841774582862854,0.396561884880066,0.324930477142334,0.3814437866210938,0.3861999004307271,-0.0159821972250938,0.0091367666098809,0.0,-0.022512901908139222,-0.4307328044838708,-0.24130933586972042,0.6045034346291736,3,Kenya
KEN,Kenya,2021,7.59048947333467,1698.89578271444,20.3912447822361,6.10793603659178,1.90040858948898,30.8243031771262,-0.734718978404999,-0.325909495353699,-0.460586369037628,-0.42144787311554,-0.351733297109604,-1.03243744373322,0.4348181009292601,0.415710425376892,0.4078827261924743,0.3530562043190002,0.4028668642044067,0.3896382862906792,0.0214230775833129,0.0132822151876445,0.0,-0.009020942972786883,-0.41417091187679544,-0.294851060650567,0.6819591436090018,3,Kenya
KEN,Kenya,2022,4.85998104287999,1747.53198804428,19.0540638513609,7.65986268272222,1.92297608206469,33.6911387270322,-0.759503602981567,-0.329533219337463,-0.380829960107803,-0.317989438772202,-0.150899544358253,-0.947280883789062,0.4340933561325074,0.4364021122455596,0.4238340079784394,0.3480992794036866,0.4106071889400483,0.3939641598779347,0.0077403247356415,0.013547722285301,0.0,0.19333008771464633,-0.29169596733032166,,0.6783561427596143,2,Kenya
KEN,Kenya,2023,5.55587301319866,1808.40479129677,16.3568914711063,7.67139634029401,1.98296028478422,32.0920792814469,-0.770913004875183,-0.303605198860168,-0.390806585550308,-0.326221644878387,-0.124170683324337,-0.937771916389465,0.4392789602279664,0.4347556710243226,0.4218386828899383,0.3458173990249634,0.4104226782917977,0.3973595435697956,-0.0001845106482505,0.0136093283553431,0.0,0.2075343035568996,-0.2881684482653246,,0.7032370553791238,2,Kenya
KOR,"Korea, Rep.",2004,5.19739136324382,20364.7599656771,32.5495531236433,3.59066298882578,0.396331436697806,70.0157148656729,0.378848910331726,0.815539062023163,0.793975472450256,0.909604072570801,0.728531181812286,0.428842574357986,0.6631078124046326,0.6819208145141602,0.6587950944900511,0.5757697820663452,0.6448983758687973,0.6448983758687973,,,,0.705580353203543,0.6339484278924858,,0.7772122785146002,2,South Korea
KOR,"Korea, Rep.",2005,4.30854271411236,21197.1990880347,32.5081847804131,2.75379162735039,0.211997784117548,68.3248110236401,0.592332899570465,0.924596548080444,0.805072546005249,0.974222898483276,0.745595574378967,0.485128581523895,0.6849193096160888,0.6948445796966551,0.6610145092010498,0.618466579914093,0.6648112446069717,0.6490063902156303,0.0199128687381744,,,0.700937751426318,0.6276845763085865,,0.7741909265440493,2,South Korea
KOR,"Korea, Rep.",2006,5.26432659466724,22196.2077459266,32.9933079853202,2.24234028518922,0.525199940498775,70.6518735304194,0.300606369972229,0.984207689762115,0.72058492898941,0.837951719760895,0.690555095672607,0.42385545372963,0.696841537952423,0.667590343952179,0.644116985797882,0.5601212739944458,0.6421675354242324,0.6475955380692938,-0.0226437091827392,,,0.7562414317467371,0.733717683406576,,0.7787651800868982,2,South Korea
KOR,"Korea, Rep.",2007,5.79954841503216,23365.1402064812,33.0974830502206,2.53457382137932,0.505234032920336,73.8745252877915,0.569716930389404,1.20181572437286,0.920578896999359,1.01054978370667,0.699741125106812,0.566254734992981,0.740363144874572,0.702109956741334,0.6841157793998718,0.6139433860778808,0.6851330667734146,0.6553395104968107,0.0429655313491821,0.0332842806265742,,0.7431178275243466,0.7228962042506258,,0.7633394507980674,2,South Korea
KOR,"Korea, Rep.",2008,3.01298487281167,23887.0595538423,33.6668294033225,4.67389655533408,0.759316681850927,95.5163524347469,0.425825089216232,0.994486927986145,0.725823581218719,0.860504567623138,0.657143592834473,0.420968681573868,0.698897385597229,0.6721009135246276,0.6451647162437438,0.5851650178432464,0.6503320083022117,0.6543064654279315,-0.0348010584712028,0.0363273513642017,0.0,0.5297662635636954,0.7334968813102337,,0.32603564581715705,2,South Korea
KOR,"Korea, Rep.",2009,0.792698989518186,23952.8132191069,29.3999897291047,2.75649654493929,0.514682827535803,86.133619369747,0.499742418527603,1.02481615543365,0.849306285381317,0.99423885345459,0.707632899284363,0.409627974033356,0.70496323108673,0.698847770690918,0.6698612570762634,0.5999484837055207,0.6684051856398581,0.6572150239919492,0.0180731773376463,0.0323362651667029,0.0,0.5384923885511228,0.7477007053651491,,0.3292840717370964,2,South Korea
KOR,"Korea, Rep.",2010,6.80482491783671,25455.6174843658,32.5521135765371,2.93928652655687,0.49822508440111,91.3995964951756,0.426656723022461,1.14781618118286,0.918371379375458,1.00820755958557,0.741072177886963,0.325895816087723,0.729563236236572,0.701641511917114,0.6836742758750916,0.5853313446044922,0.6750525921583174,0.6608949049223937,0.0066474065184592,0.0313039088332123,0.0,0.534977962087499,0.7401164788765365,,0.32983944529846143,2,South Korea
KOR,"Korea, Rep.",2011,3.68566778212526,26191.6442615421,33.3194258170924,4.02596500436091,0.768971758582589,105.566313581348,0.483322471380234,1.15794360637665,0.982293248176575,1.02559030056,0.726919293403625,0.412495642900467,0.7315887212753299,0.7051180601120001,0.696458649635315,0.5966644942760467,0.682457481324673,0.6653432530926116,0.0074048891663556,0.0280987310334791,0.0,0.5149462126774537,0.72990824200406,,0.2999841833508473,2,South Korea
KOR,"Korea, Rep.",2012,2.40253099246186,26680.2754448705,31.3166467538553,2.18707104433316,0.525713660600414,105.458327737701,0.495882242918015,1.07450258731842,0.865391075611115,0.984835565090179,0.725595772266388,0.267103314399719,0.714900517463684,0.6969671130180358,0.673078215122223,0.599176448583603,0.6710305735468864,0.6665165443108884,-0.0114269077777865,0.0207820353015708,0.0,0.5150711907159978,0.7396061490503171,,0.29053623238167864,2,South Korea
KOR,"Korea, Rep.",2013,3.16470863647184,27399.6159477521,29.8853272856136,1.30134754547413,0.455218622164662,97.9521049538882,0.581018269062042,1.0034042596817,0.988611996173859,0.945141017436981,0.705780982971191,0.278578639030457,0.70068085193634,0.6890282034873962,0.6977223992347719,0.6162036538124085,0.675908777117729,0.6684541569987745,0.0048782035708425,0.0105971341278882,0.0,0.07874348044245573,0.7058249322121537,-0.6721959581949095,0.202601467310123,3,South Korea
KOR,"Korea, Rep.",2014,3.2024537945736,28100.0102759544,29.7904786327772,1.27477446401322,0.628149861433639,90.6144418981567,0.512005865573883,1.03528797626495,1.13403701782227,1.00596332550049,0.680197238922119,0.108568802475929,0.7070575952529901,0.701192665100098,0.7268074035644541,0.6024011731147766,0.6843647092580797,0.6717364955611718,0.0084559321403506,0.0082757627740043,1.0,0.10383645449190898,0.6854807373643027,-0.6255556501470336,0.25158427625845786,3,South Korea
KOR,"Korea, Rep.",2015,2.80910326824133,28737.4391706499,29.5292808218765,0.706331772455743,0.527288497407793,79.132494389092,0.339694708585739,0.977552056312561,1.09933400154114,0.902739524841309,0.631044268608093,0.156361043453217,0.6955104112625122,0.6805479049682618,0.719866800308228,0.5679389417171479,0.6659660145640374,0.6705460483666441,-0.0183986946940423,0.0122750259810117,0.0,0.11268548074823903,0.6629885824114287,-0.5899883135861932,0.2650561734194816,3,South Korea
